property_id,property_address,property_city,property_state,property_zip,property_county,property_type_detail,bedroom_count,bathroom_count,total_building_area_square_feet,lot_size_square_feet,year_built,estimated_value,last_sale_price,last_sale_date,zoning_code,total_assessed_value,mls_status,mls_listing_date,mls_listing_amount,borough
1797,27 Lamont Ct,Brooklyn,NY,11225-4510,Kings,Duplex,4.0,3.0,1408.0,1845.0,1940.0,807138.0,999000.0,2022-02-25,R7-1,47760.0,,,0.0,Brooklyn
1798,274 7th St,Brooklyn,NY,11215-3210,Kings,Duplex,,,1600.0,4000.0,1899.0,2376186.0,,,R6B,116580.0,Off Market,,0.0,Brooklyn
1799,240 Nassau Ave,Brooklyn,NY,11222-3662,Kings,Triplex,2.0,1.0,3972.0,1850.0,1899.0,2557581.0,,,R6B,169560.0,Off Market,,0.0,Brooklyn
1800,1069 Halsey St,Brooklyn,NY,11207-1177,Kings,Duplex,5.0,4.0,3300.0,2000.0,1920.0,1528082.0,970000.0,2015-04-16,R6,85200.0,Off Market,2014-08-17,0.0,Brooklyn
1801,7432 64th Ln,Ridgewood,NY,11385-6133,Queens,Duplex,,0.0,1568.0,2000.0,1920.0,,,,R5B,36029.0,Off Market,,0.0,Brooklyn
1802,618 Bainbridge St,Brooklyn,NY,11233-5583,Kings,Triplex,8.0,3.0,2700.0,2000.0,1899.0,1157790.0,990000.0,2017-10-26,R6,82140.0,Sold,2016-07-06,998000.0,Brooklyn
1803,19 Van Buren St,Brooklyn,NY,11221-6005,Kings,Triplex,1.0,1.0,3108.0,1942.0,1899.0,1897190.0,,2016-03-08,R6B,100140.0,Off Market,2015-09-13,0.0,Brooklyn
1804,216 Brooklyn Ave,Brooklyn,NY,11213-1908,Kings,Duplex,,,3054.0,1800.0,1899.0,1676961.0,1507320.0,2022-03-15,R6,87600.0,Off Market,,0.0,Brooklyn
1805,1115 Bergen St,Brooklyn,NY,11216-3301,Kings,Duplex,,,2400.0,2000.0,1905.0,1897079.0,,,R6,96660.0,Off Market,,0.0,Brooklyn
1806,136 Luquer St,Brooklyn,NY,11231-4177,Kings,Quadruplex,,,2499.0,2083.0,1900.0,2826126.0,,2017-08-07,R6B,630720.0,Off Market,,0.0,Brooklyn
1807,386C Chauncey St,Brooklyn,NY,11233-2992,Kings,Duplex,,,1920.0,3100.0,1995.0,1115976.0,944000.0,2023-06-22,R6,53580.0,Sold,2022-07-01,949888.0,Brooklyn
1808,363 Washington Ave,Brooklyn,NY,11238-1117,Kings,Quadruplex,1.0,0.0,3375.0,3040.0,1905.0,2870402.0,2550000.0,2020-11-19,R6B,714960.0,Off Market,,0.0,Brooklyn
1809,1179 Jefferson Ave,Brooklyn,NY,11221-5111,Kings,Triplex,5.0,3.0,2700.0,2000.0,1905.0,971181.0,857980.0,2019-01-25,R6,88440.0,Sold,2018-07-20,1200000.0,Brooklyn
1810,840 Putnam Ave,Brooklyn,NY,11221-2818,Kings,Duplex,4.0,2.0,2499.0,1933.0,1899.0,2225460.0,2500000.0,2023-08-21,R6B,85440.0,,,0.0,Brooklyn
1811,6809 60th St,Ridgewood,NY,11385-5169,Queens,Duplex,4.0,3.0,1740.0,1350.0,1910.0,987112.0,500.0,2023-08-25,R5B,61740.0,Off Market,2010-05-15,449000.0,Brooklyn
1812,1414 Saint Marks Ave,Brooklyn,NY,11233-4515,Kings,Triplex,6.0,3.0,2700.0,2555.0,1920.0,966865.0,850000.0,2019-04-17,R6,56640.0,,,0.0,Brooklyn
1813,1864 Grove St,Ridgewood,NY,11385-2232,Queens,Duplex,,1.0,1920.0,2500.0,1910.0,948035.0,925000.0,2024-02-28,R5B,61500.0,Off Market,2013-09-14,2595.0,Brooklyn
1814,218 Hawthorne St,Brooklyn,NY,11225-5908,Kings,Triplex,6.0,5.0,3264.0,2120.0,1915.0,2217739.0,2150000.0,2023-08-24,R6,120480.0,,,0.0,Brooklyn
1815,1514 Park Pl,Brooklyn,NY,11213-4395,Kings,Triplex,8.0,6.0,3515.0,2100.0,2006.0,878045.0,,2024-04-09,R6,61860.0,Off Market,2019-01-28,999000.0,Brooklyn
1816,1273 Dekalb Ave,Brooklyn,NY,11221-6558,Kings,Triplex,,,3788.0,1730.0,2014.0,789831.0,815000.0,2023-02-23,R6,45908.0,Sold,,0.0,Brooklyn
1817,269 Carroll St,Brooklyn,NY,11231-4918,Kings,Triplex,,3.0,3240.0,1957.0,1901.0,3427740.0,2999500.0,2021-05-27,R6B,254460.0,Off Market,2020-09-29,0.0,Brooklyn
1818,569 Monroe St,Brooklyn,NY,11221-1704,Kings,Duplex,5.0,2.0,2520.0,2000.0,1905.0,2072116.0,1300000.0,2025-01-31,R6B,89880.0,Off Market,2015-05-07,950000.0,Brooklyn
1819,1020 Greene Ave,Brooklyn,NY,11221-5582,Kings,Triplex,4.0,4.0,1920.0,1600.0,1899.0,1467057.0,890000.0,2013-12-11,R6A,88560.0,Off Market,2017-10-11,1799000.0,Brooklyn
1820,645 Greene Ave,Brooklyn,NY,11221-1305,Kings,Quadruplex,,,2700.0,1875.0,1931.0,1540494.0,135000.0,1992-01-07,R6B,232200.0,Sold,,0.0,Brooklyn
1821,829 Marcy Ave,Brooklyn,NY,11216-6605,Kings,Duplex,9.0,4.0,4000.0,2000.0,1915.0,2674621.0,1436000.0,2022-05-31,R6B,108300.0,Sold,2021-02-26,1925000.0,Brooklyn
1822,532 Willoughby Ave,Brooklyn,NY,11206-3602,Kings,Triplex,5.0,4.0,2250.0,1875.0,1899.0,1366666.0,1200000.0,2019-02-27,R6B,89460.0,,,0.0,Brooklyn
1823,349 Halsey St,Brooklyn,NY,11216-2411,Kings,Triplex,,0.0,3000.0,2000.0,1899.0,845751.0,,2011-12-15,R6B,101220.0,Off Market,,0.0,Brooklyn
1824,2120 Rene Ct,Ridgewood,NY,11385-1226,Queens,Duplex,2.0,1.0,2886.0,2000.0,1910.0,1145795.0,,2020-10-20,R5B,38263.0,Off Market,,0.0,Brooklyn
1825,76 Clinton Ave,Brooklyn,NY,11205-2301,Kings,Duplex,3.0,2.0,2410.0,5635.0,1910.0,2223438.0,2200000.0,2024-10-25,R5B,118980.0,Sold,2023-08-25,2495000.0,Brooklyn
1826,205 Weirfield St,Brooklyn,NY,11221-5226,Kings,Duplex,,,2700.0,2000.0,1910.0,1925610.0,550000.0,2017-03-13,R6,104520.0,Active,2024-10-31,1995000.0,Brooklyn
1827,340 Thomas S Boyland St,Brooklyn,NY,11233-4721,Kings,Triplex,8.0,2.0,4080.0,1520.0,2004.0,965630.0,860000.0,2021-07-28,R6,73380.0,Off Market,2022-01-26,0.0,Brooklyn
1828,712 Lafayette Ave,Brooklyn,NY,11221-1490,Kings,Quadruplex,2.0,1.0,2494.0,1933.0,1931.0,1864214.0,1415000.0,2016-07-26,R6B,160380.0,Sold,2015-09-24,1450000.0,Brooklyn
1829,1356 Bergen St,Brooklyn,NY,11213-1565,Kings,Triplex,7.0,4.0,3152.0,2395.0,1905.0,1789626.0,1640000.0,2022-03-23,R6,101220.0,Off Market,2020-01-27,0.0,Brooklyn
1830,7215 62nd St,Ridgewood,NY,11385-6125,Queens,Quadruplex,2.0,1.0,3000.0,2500.0,1931.0,1078930.0,112601.0,2024-03-28,R5B,226800.0,Off Market,2020-11-08,1750.0,Brooklyn
1831,27 3rd Pl,Brooklyn,NY,11231-3301,Kings,Triplex,,0.0,2432.0,2000.0,1901.0,3022897.0,2800000.0,2022-10-03,R6B,195780.0,Off Market,,0.0,Brooklyn
1832,77 S 9th St,Brooklyn,NY,11249-6081,Kings,Quadruplex,,0.0,3720.0,1929.0,1910.0,2670538.0,26850.0,2019-10-01,R6,566550.0,Off Market,,0.0,Brooklyn
1833,3 Hart St,Brooklyn,NY,11206-6401,Kings,Triplex,14.0,5.0,2100.0,1500.0,1931.0,1962323.0,1937729.0,2024-11-07,R6B,87240.0,Off Market,2024-05-13,1700000.0,Brooklyn
1834,509 Throop Ave,Brooklyn,NY,11221-1042,Kings,Quadruplex,1.0,1.0,4800.0,1800.0,1905.0,1794181.0,1350000.0,2016-04-20,R6B,618840.0,Sold,2015-02-12,1375000.0,Brooklyn
1835,1168 Halsey St,Brooklyn,NY,11207-1207,Kings,Duplex,5.0,1.0,2430.0,1800.0,1925.0,2002080.0,1979000.0,2024-11-06,R6,101520.0,Off Market,2024-05-15,1979000.0,Brooklyn
1836,1450 Greene Ave,Brooklyn,NY,11237-6849,Kings,Triplex,9.0,6.0,3060.0,2000.0,1899.0,1003786.0,,2013-05-21,R6,67620.0,Off Market,2024-05-03,1950000.0,Brooklyn
