property_id,property_address,property_city,property_state,property_zip,property_county,property_type_detail,bedroom_count,bathroom_count,total_building_area_square_feet,lot_size_square_feet,year_built,estimated_value,last_sale_price,last_sale_date,zoning_code,total_assessed_value,mls_status,mls_listing_date,mls_listing_amount,borough
2543,120 W 70th St,New York,NY,10023-4417,New York,Cooperative Unit,2.0,2.0,66917.0,9339.0,1917.0,,2375000.0,2018-07-09,R8B,6500520.0,Off Market,,0,Manhattan
2544,453 W 37th St,New York,NY,10018,New York,Highrise Apartment,,,440709.0,34167.0,2008.0,1496553.0,,,C2-8,34976160.0,,,0,Manhattan
2545,209 W 20th St,New York,NY,10011-0800,New York,Apartment House (5+ Units),1.0,1.0,8525.0,2050.0,2004.0,7141079.0,6750000.0,2021-06-30,R8B,1290690.0,Off Market,2016-03-05,0,Manhattan
2546,1136 5th Ave,New York,NY,10128-0122,New York,Cooperative Unit,4.0,7.0,122701.0,10361.0,1925.0,6009007.0,35000000.0,2014-08-29,R10,14011120.0,Off Market,2024-10-03,7550000,Manhattan
2547,430-432 W 34th St,New York,NY,10001-2308,New York,Cooperative Unit,,1.0,108402.0,9850.0,1963.0,,,,C6-4,12085200.0,Off Market,2010-11-23,0,Manhattan
2548,307 E 6th St,New York,NY,10003-8402,New York,Apartment House (5+ Units),,,7294.0,2271.0,1910.0,2702888.0,,1996-01-01,R8B,285501.0,,,0,Manhattan
2549,419 W 48th St,New York,NY,10036-1231,New York,Cooperative Unit,1.0,1.0,6925.0,2500.0,1910.0,,,,R8,724877.0,Off Market,2012-03-15,0,Manhattan
2550,150 E 30th St,New York,NY,10016-7341,New York,Apartment House (5+ Units),,,20660.0,4938.0,1962.0,1348733.0,,1998-07-30,R8B,2815670.0,,,0,Manhattan
2551,9 Charlton St,New York,NY,10014-4901,New York,Apartment House (5+ Units),,,6905.0,3325.0,1900.0,2367640.0,,,R7-2,521294.0,,,0,Manhattan
2552,63 W 68th St,New York,NY,10023-5316,New York,Apartment House (5+ Units),2.0,1.0,5675.0,1908.0,1907.0,2772980.0,111600000.0,2022-10-03,R8B,769683.0,Off Market,,0,Manhattan
2553,420 E 85th St,New York,NY,10028-7701,New York,Cooperative Unit,0.0,1.0,5022.0,2043.0,1925.0,10784226.0,,,R8B,544592.0,Off Market,,0,Manhattan
2554,52 E 1st St,New York,NY,10003-9391,New York,Cooperative Unit,,,8466.0,2444.0,1900.0,4147059.0,,,R8B,71825.0,Off Market,,0,Manhattan
2555,428 E 81st St,New York,NY,10028-5882,New York,Apartment House (5+ Units),,,8614.0,2554.0,1925.0,1515086.0,,,R8B,1128480.0,,,0,Manhattan
2556,34 W 88th St,New York,NY,10024-2558,New York,Cooperative Unit,2.0,1.0,6602.0,2315.0,1900.0,1941577.0,,,R7-2,799522.0,Off Market,2008-09-12,0,Manhattan
2557,315 W 74th St,New York,NY,10023-1623,New York,Apartment House (5+ Units),2.0,1.0,5441.0,1750.0,1900.0,1739248.0,,,R8B,888493.0,Off Market,,0,Manhattan
2558,322 E 85th St,New York,NY,10028-5426,New York,Cooperative Unit,2.0,1.0,9895.0,2554.0,1905.0,502934.0,384000.0,2014-11-14,R8B,1077570.0,Sold,2011-01-30,0,Manhattan
2559,256 W 85th St,New York,NY,10024-3252,New York,Apartment House (5+ Units),,,8405.0,2043.0,1920.0,1854032.0,,,R10A,997550.0,,,0,Manhattan
2560,517 E 87th St,New York,NY,10128-7656,New York,Cooperative Unit,2.0,1.0,9613.0,2492.0,1925.0,1680302.0,,,R8B,831173.0,Off Market,2011-02-25,0,Manhattan
2561,333 E 49th St,New York,NY,10017-1680,New York,Apartment House (5+ Units),1.0,1.0,191762.0,19975.0,1965.0,74420360.0,72300000.0,2023-12-31,R8B,15623530.0,Off Market,,0,Manhattan
2562,309 W 76th St,New York,NY,10023-8064,New York,Apartment House (5+ Units),,,8611.0,2247.0,1900.0,1658094.0,,,R8B,942480.0,,,0,Manhattan
2563,118 E 92nd St,New York,NY,10128-1616,New York,Apartment House (5+ Units),,,12012.0,2517.0,1910.0,625804.0,,2015-11-23,R8B,1541430.0,,,0,Manhattan
2564,409 E 90th St,New York,NY,10128-4250,New York,Apartment House (5+ Units),,,8870.0,2517.0,1920.0,827255.0,,,C8-4,930780.0,,,0,Manhattan
2565,530 W 47th St,New York,NY,10036-2281,New York,Apartment House (5+ Units),0.0,1.0,22500.0,5021.0,1999.0,8177680.0,8900000.0,2004-05-25,R8,2233080.0,Off Market,,0,Manhattan
2566,315 E 77th St,New York,NY,10075-2251,New York,Cooperative Unit,2.0,1.0,43878.0,10217.0,1928.0,,,,R8B,4564812.0,Off Market,2018-05-30,0,Manhattan
2567,333 E 58th St,New York,NY,10022-2248,New York,Apartment House (5+ Units),,,6525.0,2109.0,1900.0,3852733.0,,,R8B,540270.0,,,0,Manhattan
2568,35 E 12th St,New York,NY,10003-4622,New York,Cooperative Unit,3.0,2.0,64377.0,7227.0,1900.0,4816894.0,4750000.0,2017-12-15,C6-1,7335000.0,Off Market,2011-08-15,0,Manhattan
2569,17 E 70th St,New York,NY,10021-4932,New York,Apartment House (5+ Units),1.0,1.0,12075.0,2510.0,1920.0,7626366.0,7500000.0,2024-01-31,C5-1,1041510.0,Off Market,,0,Manhattan
2570,7 E 28th St,New York,NY,10016-7401,New York,Highrise Apartment,,,407555.0,21181.0,1998.0,635023.0,380600000.0,2020-02-19,C5-2,65382430.0,,,0,Manhattan
2571,458 W 52nd St,New York,NY,10019-6358,New York,Apartment House (5+ Units),,,21000.0,4565.0,1910.0,,2000000.0,1996-02-29,R8,2352380.0,,,0,Manhattan
2572,311 E 90th St,New York,NY,10128-5271,New York,Apartment House (5+ Units),,,8825.0,2517.0,1915.0,990028.0,,,R8B,782280.0,,,0,Manhattan
2573,320 W 53rd St,New York,NY,10019-5727,New York,Cooperative Unit,,,7248.0,3142.0,1920.0,11894775.0,,,R8,573823.0,,,0,Manhattan
2574,454 Broome St,New York,NY,10013-2602,New York,Cooperative Unit,3.0,2.0,12415.0,2500.0,1900.0,820258.0,8730000.0,2019-02-02,M15R7X,1040343.0,Off Market,2009-05-23,0,Manhattan
2575,60 1st Ave,New York,NY,10009-7326,New York,Cooperative Unit,1.0,1.0,194800.0,40955.0,1964.0,,,,R7-2,18218790.0,Off Market,2013-06-15,0,Manhattan
2576,448 W 20th St,New York,NY,10011-2932,New York,Apartment House (5+ Units),,,3920.0,1533.0,1910.0,1358708.0,,2021-02-24,R7B,399953.0,,,0,Manhattan
2577,34 E 38th St,New York,NY,10016-2508,New York,Cooperative Unit,2.0,2.0,10039.0,2469.0,1925.0,1757928.0,,,R8B,1338817.0,Off Market,2021-05-24,0,Manhattan
2578,103 W 88th St,New York,NY,10024-2426,New York,Apartment House (5+ Units),,,7850.0,2013.0,1910.0,1511191.0,,,C1-9,695291.0,,,0,Manhattan
2579,317 W 71st St,New York,NY,10023-3532,New York,Apartment House (5+ Units),,9.0,5380.0,1737.0,1900.0,6412696.0,5800000.0,2016-08-16,R8B,717304.0,Off Market,,0,Manhattan
2580,158 E 22nd St,New York,NY,10010-6355,New York,Cooperative Unit,2.0,2.0,4148.0,1712.0,1930.0,10207543.0,35500000.0,2011-07-15,C28A,584740.0,Off Market,2008-05-29,0,Manhattan
2581,516 E 81st St,New York,NY,10028-2529,New York,Apartment House (5+ Units),,,9460.0,2554.0,1920.0,1358736.0,5000.0,1998-01-15,R8B,1093300.0,,,0,Manhattan
2582,428 W 49th St,New York,NY,10019-7471,New York,Apartment House (5+ Units),,,10468.0,2510.0,2003.0,9092236.0,7500000.0,2013-06-13,R8,1387470.0,,,0,Manhattan
2583,436 E 88th St,New York,NY,10128-6617,New York,Apartment House (5+ Units),,,5628.0,2802.0,1930.0,4368666.0,,2014-08-22,R8B,547228.0,,,0,Manhattan
2584,316 E 77th St,New York,NY,10075-2449,New York,Apartment House (5+ Units),,,7095.0,2554.0,1910.0,4942031.0,5000000.0,2019-01-23,R8B,831410.0,,,0,Manhattan
2585,176 E 2nd St,New York,NY,10009-8408,New York,Cooperative Unit,2.0,1.0,6432.0,2120.0,1900.0,4053585.0,,,R8B,393095.0,Off Market,,0,Manhattan
2586,10 W 76th St,New York,NY,10023-1528,New York,Apartment House (5+ Units),,,9810.0,2554.0,1926.0,6902100.0,,,R8B,662850.0,,,0,Manhattan
2587,120 W 21st St,New York,NY,10011-3221,New York,Highrise Apartment,,,174621.0,21344.0,2000.0,191207584.0,138988455.0,2011-08-25,C63A,35440330.0,,,0,Manhattan
2588,30-34 W 40th St,New York,NY,10018,New York,Cooperative Unit,,,69925.0,4943.0,1907.0,,,,C6-4.5,7547400.0,Off Market,,0,Manhattan
2589,9 5th Ave Fl 3J,New York,NY,10017-2496,New York,Cooperative Unit,,,392071.0,37566.0,1955.0,808116.0,,,R10,,,,0,Manhattan
2590,537 W 27th St,New York,NY,10001-5716,New York,Highrise Apartment,,,34345.0,7281.0,2011.0,,37570000.0,2015-06-18,C6-3,6436440.0,,,0,Manhattan
2591,151 W 95th St,New York,NY,10025-6651,New York,Apartment House (5+ Units),,,4140.0,1812.0,1900.0,2668270.0,,,R7-2,450421.0,,,0,Manhattan
2592,232 W 75th St,New York,NY,10023-1749,New York,Cooperative Unit,0.0,0.0,5170.0,1737.0,1920.0,,440000.0,2014-02-07,R8B,642200.0,Off Market,2014-04-15,0,Manhattan
2593,212 E 26th St,New York,NY,10010-2416,New York,Apartments,,,6895.0,2469.0,1920.0,,,,R8B,626440.0,,,0,Manhattan
2594,301 E 10th St,New York,NY,10009-5009,New York,Apartment House (5+ Units),,,5581.0,2369.0,1900.0,7740026.0,8000000.0,2016-11-17,R8B,265346.0,,,0,Manhattan
2595,247 W 21st St,New York,NY,10011-3110,New York,Apartment House (5+ Units),,,41100.0,9875.0,1920.0,27280104.0,21200000.0,2012-12-18,R8B,4196795.0,,,0,Manhattan
